Full rank,Code A,Code B,Full phi,Full lift,Minimum phi,Maximum phi,Minimum lift,Maximum lift,Minimum rank,Maximum rank,Top-five deletions,Threshold-retained deletions,Total deletions
1,B5,B6,0.4524614483346644,2.3529411764705883,0.42148135320613944,0.498023264071653,2.3101604278074865,2.541176470588235,1,2,55,55,55
2,B5,B8,0.4242333421946271,1.8730650154798762,0.40147753427348304,0.45607407461443966,1.8390092879256965,1.9539473684210527,1,3,55,55,55
3,B2,B7,0.3821079318567817,2.037037037037037,0.3501688211842363,0.42266645769553085,2.0,2.1818181818181817,2,3,55,55,55
4,B4,B8,0.31581513330334404,1.7813765182186234,0.2834733547569204,0.3523741786248628,1.7489878542510122,1.894736842105263,4,5,55,47,55
5,B8,B9,0.3022817708791715,2.3157894736842106,0.25,0.38388594797495723,2.25,2.8421052631578947,4,6,53,16,55
6,B6,B8,0.21029775604801496,1.5789473684210527,0.16854996561581054,0.24772374532658945,1.5,1.7052631578947368,6,9,0,0,55
7,B5,B9,0.19906904071737577,1.9411764705882353,0.12617865362880895,0.26502542098426246,1.6875,2.3823529411764706,5,10,1,0,55
8,B3,B9,0.18380365552345193,1.8333333333333333,0.11277677488692019,0.25,1.588235294117647,2.25,5,10,1,0,55
9,B3,B6,0.1356222452011225,1.3888888888888888,0.08743919903548106,0.16854996561581054,1.2705882352941176,1.5,7,10,0,0,55
10,B3,B5,0.1204408238936102,1.2581699346405228,0.08408649136627329,0.1433848336691011,1.1911764705882353,1.3125,8,12,0,0,55
11,B4,B5,0.09092455400574968,1.244343891402715,0.043355498476206004,0.11722043929149135,1.125,1.3235294117647058,9,13,0,0,55
12,B2,B9,0.04901430813958718,1.2222222222222223,-0.03947187121042207,0.1,0.7941176470588235,1.5,11,14,0,0,55
13,B4,B6,0.042796049251091296,1.1538461538461537,-0.025482359571881278,0.06607847865965967,0.9,1.2461538461538462,11,14,0,0,55
14,B4,B9,-0.027066598098038335,0.8461538461538461,-0.15118578920369088,0.006125638918316888,0.0,1.0384615384615385,13,20,0,0,55
15,B6,B7,-0.04402254531628119,0.8333333333333334,-0.12275271837065035,-0.025482359571881278,0.4909090909090909,0.9,14,19,0,0,55
16,B2,B6,-0.05812381937190965,0.8333333333333334,-0.1178528334826049,-0.033709993123162106,0.6352941176470588,0.9,15,19,0,0,55
17,B2,B3,-0.07357357357357357,0.8487654320987654,-0.11605723370429252,-0.056388387443460086,0.7474048442906575,0.8823529411764706,15,19,0,0,55
18,B3,B8,-0.09926808348110709,0.804093567251462,-0.14097096860865022,-0.08194825765222345,0.7058823529411765,0.8359133126934984,16,19,0,0,55
19,B7,B8,-0.10604437767613947,0.7236842105263158,-0.1625640221905888,-0.0838024016276297,0.5454545454545454,0.7751196172248804,16,21,0,0,55
20,B6,B9,-0.15811388300841897,0.0,-0.16156566665498776,-0.14305633952771812,0.0,0.0,19,20,0,0,55
21,B7,B9,-0.16705381391691135,0.0,-0.17074694419062766,-0.15118578920369088,0.0,0.0,20,21,0,0,55
22,B4,B7,-0.19028309276891078,0.3525641025641026,-0.2703510699011153,-0.17725391318668657,0.0,0.3776223776223776,22,24,0,0,55
23,B3,B4,-0.2056308398174804,0.4700854700854701,-0.26641008929884397,-0.18898223650461363,0.2647058823529412,0.5,22,24,0,0,55
24,B2,B5,-0.21496400213922834,0.5392156862745098,-0.2651958573859388,-0.20073876713674152,0.39705882352941174,0.5625,23,24,0,0,55
25,B5,B7,-0.35333695139907206,0.0,-0.3623177214464278,-0.3428354427301162,0.0,0.0,25,26,0,0,55
26,B3,B7,-0.3684612200047538,0.0,-0.37796447300922725,-0.3576408488192953,0.0,0.0,25,27,0,0,55
27,B2,B4,-0.38804529449427755,0.0,-0.39816652969059774,-0.37796447300922725,0.0,0.0,26,27,0,0,55
28,B2,B8,-0.4252229844638468,0.1608187134502924,-0.47930129326941073,-0.41592606242354924,0.0,0.16718266253869968,28,28,0,0,55
