Metric,Partial weight,Mean,Cases,Known cells,Unknown cells
IAS,0,0.3888888888888889,6,36,0
IAS,0.25,0.513888888888889,6,36,0
IAS,0.5,0.638888888888889,6,36,0
IAS,0.75,0.7638888888888888,6,36,0
IAS,1,0.8888888888888888,6,36,0
RMC,0,0.21666666666666667,3,24,6
RMC,0.25,0.37916666666666665,3,24,6
RMC,0.5,0.5416666666666666,3,24,6
RMC,0.75,0.7041666666666666,3,24,6
RMC,1,0.8666666666666667,3,24,6
PDC,0,0.5,4,44,0
PDC,0.25,0.5852272727272727,4,44,0
PDC,0.5,0.6704545454545454,4,44,0
PDC,0.75,0.7556818181818182,4,44,0
PDC,1,0.8409090909090909,4,44,0
OC,0,0.25,4,40,0
OC,0.25,0.3875,4,40,0
OC,0.5,0.525,4,40,0
OC,0.75,0.6625,4,40,0
OC,1,0.8,4,40,0
